year,log_cpi
1860,3.29583686600433
1861,3.29583686600433
1862,3.40119738166216
1863,3.61091791264422
1864,3.87120101090789
1865,3.85014760171006
1866,3.78418963391826
1867,3.76120011569356
1868,3.71357206670431
1869,3.68887945411394
1870,3.63758615972639
1871,3.61091791264422
1872,3.61091791264422
1873,3.61091791264422
1874,3.55534806148941
1875,3.49650756146648
1876,3.46573590279973
1877,3.46573590279973
1878,3.40119738166216
1879,3.36729582998647
1880,3.40119738166216
1881,3.40119738166216
1882,3.40119738166216
1883,3.36729582998647
1884,3.3322045101752
1885,3.3322045101752
1886,3.3322045101752
1887,3.3322045101752
1888,3.3322045101752
1889,3.3322045101752
1890,3.3322045101752
1891,3.3322045101752
1892,3.3322045101752
1893,3.3322045101752
1894,3.25809653802148
1895,3.2188758248682
1896,3.2188758248682
1897,3.2188758248682
1898,3.2188758248682
1899,3.2188758248682
1900,3.2188758248682
1901,3.2188758248682
1902,3.25809653802148
1903,3.29583686600433
1904,3.29583686600433
1905,3.29583686600433
1906,3.3322045101752
1907,3.36729582998647
1908,3.3322045101752
1909,3.3322045101752
1910,3.36729582998647
1911,3.36729582998647
1912,3.40119738166216
1913,3.39114704580865
1914,3.40452517175483
1915,3.41444260841218
1916,3.48737507790321
1917,3.64805745959368
1918,3.80888224650863
1919,3.94739014926544
1920,4.0943445622221
1921,3.98154906807676
1922,3.91601502669768
1923,3.93378449720966
1924,3.93573953204546
1925,3.96081316959758
1926,3.97029191355212
1927,3.95124371858143
1928,3.93769075217672
1929,3.93769075217672
1930,3.91202300542815
1931,3.81990771652034
1932,3.71113006304876
1933,3.65842024662923
1934,3.69137633431252
1935,3.71600812150219
1936,3.72569342723665
1937,3.76120011569356
1938,3.74242022104197
1939,3.72810016726722
1940,3.73766961828337
1941,3.7864597824528
1942,3.8877303128591
1943,3.94739014926544
1944,3.96461545554732
1945,3.98713047791495
1946,4.06902675423781
1947,4.20319896713418
1948,4.2780540442909
1949,4.26829786934554
1950,4.2780540442909
1951,4.35414143118435
1952,4.37575702166029
1953,4.38327585407431
1954,4.38825718442452
1955,4.38452351487247
1956,4.3993752730085
1957,4.43438186500781
1958,4.46129981556839
1959,4.46935046284556
1960,4.48525988931553
1961,4.49535531998088
1962,4.50645421304893
1963,4.51852237926242
1964,4.53152364581979
1965,4.5485998344997
1966,4.57677071146639
1967,4.60517018598809
1968,4.64631212931927
1969,4.69866052907543
1970,4.75617305952462
