model,estimate,std_error
1,1,1.3441775893279e-17
2,1,1.52385511699795e-17
3,1,1.63212339819502e-17
1,1,7.50736338300604e-17
2,1,7.43522841925667e-18
3,1,1.23056910835134e-17
1,1,2.95416441512823e-17
2,1,1.78144128903042e-17
3,1,1.75688243245167e-17
1,1,1.77757527068455e-17
2,1,3.31007493032195e-17
3,1,8.94020710449434e-17
1,1,2.29538073513606e-17
2,1,9.47715320660251e-18
3,1,1.19684223149055e-17
1,1,3.56228180091144e-17
2,1,1.67544702502265e-17
3,1,2.8560922402084e-17
1,1,2.99736458381996e-17
2,1,3.70702751331211e-17
3,1,4.08947256888184e-17
1,1,4.1935457930305e-17
2,1,2.43071972597183e-17
3,1,1.0805932101855e-16
1,1,2.16419409178072e-17
2,1,1.68480350802646e-17
3,1,2.89757278515642e-17
1,1,2.08504499131229e-17
2,1,4.20211062135887e-17
3,1,5.45731938567683e-17
1,1,7.49116353074971e-18
2,1,4.78758282647093e-17
3,1,6.77975333776675e-17
1,1,6.0406326459504e-17
2,1,1.88251860098304e-17
3,1,2.18635336431401e-17
1,1,4.11308959004715e-17
2,1,7.606360310735e-18
3,1,1.53557557498159e-17
1,1,1.99094069489478e-17
2,1,1.23942318945748e-17
3,1,1.25930251982891e-17
1,1,5.25582942160892e-18
2,1,9.1003020161559e-18
3,1,9.39789562094033e-18
1,0.999999999999999,1.14278202750506e-16
2,1,1.97199500565167e-17
3,1,2.5738898223861e-17
1,1,1.87802261058302e-17
2,1,6.639520660819e-17
3,1,8.68180632902343e-17
1,1,3.94475399371854e-17
2,1,2.34723873547959e-17
3,1,2.85691181397747e-17
1,1,9.01365779711757e-18
2,1,3.79697063360966e-18
3,1,6.60169155403708e-18
1,1,7.01002629253412e-17
2,1,8.87691387515431e-18
3,1,1.12578913231468e-17
1,1,6.24543819458332e-17
2,1,4.71437792442069e-17
3,1,4.70891820879423e-17
1,1,6.72651003550195e-17
2,1,1.70237131929788e-17
3,1,1.69890340128702e-17
1,1,5.66078524817963e-17
2,1,5.8345147111256e-17
3,1,6.07341432738362e-17
1,1,2.13851901336728e-17
2,1,3.43661766146055e-17
3,1,4.86491594851448e-17
1,1,4.31224561606805e-17
2,1,2.60133183071951e-17
3,1,4.43165144751266e-17
1,1,2.9833914421315e-17
2,1,3.73971283388951e-17
3,1,6.15547897688038e-17
1,1,5.06351160658541e-17
2,1,2.23544414842596e-17
3,1,5.43858110873731e-17
1,1,2.43300905651786e-17
2,1,4.14241068901186e-17
3,1,4.51786570941739e-17
1,1,3.69528946106429e-17
2,1,7.44224276718889e-17
3,1,8.40570709853061e-17
1,1,4.51115308967067e-18
2,1,2.18054948186648e-17
3,1,2.27750359139683e-17
1,1,1.66627419915698e-17
2,1,5.36600779883627e-17
3,1,9.66638581645585e-17
1,1,6.22727079595493e-18
2,1,6.94618741168089e-17
3,1,7.6979006795214e-17
1,1,2.1009215693389e-17
2,1,3.29415035693872e-17
3,1,3.58543535092688e-17
1,1,5.0545375123324e-17
2,1,3.86074235208575e-17
3,1,5.66305284275314e-17
1,1,5.77741359544774e-17
2,1,7.05603604889392e-17
3,1,8.92183803526038e-17
1,1,2.65927042401423e-17
2,1,3.96968677897493e-17
3,1,4.14188321365981e-17
1,1,9.74876067970593e-18
2,1,1.2813216585021e-17
3,1,2.22837904663714e-17
1,1,4.26827943602841e-18
2,1,3.79126675592184e-17
3,1,5.50264443580831e-17
1,1,2.20736824232284e-17
2,1,2.77416014694385e-17
3,1,8.49984930775063e-17
1,1,7.92431339650311e-18
2,1,3.45128746031448e-17
3,1,5.00546993068501e-17
1,1,2.66275603420652e-17
2,1,4.20152787230973e-17
3,1,4.65366236707845e-17
1,1,2.69897999132196e-17
2,1,1.46426473382202e-17
3,1,2.29704095221254e-17
1,1,1.69132024979871e-17
2,1,1.65515109500218e-17
3,1,1.94083795839019e-17
1,1,4.91664741203162e-17
2,1,6.39358309393126e-18
3,1,8.3527295879911e-18
1,1,3.67761115990778e-17
2,1,2.19033425906917e-17
3,1,2.74471083063514e-17
1,1,1.84089931119466e-17
2,1,5.28631253902349e-17
3,1,5.2702094160045e-17
1,1,3.35028441404146e-17
2,1,7.85288263758003e-18
3,1,2.94477847326296e-17
1,1,7.50905464441911e-18
2,1,4.34773487868332e-17
3,1,8.87040421170483e-17
1,1,2.38794012921611e-17
2,1,1.92924794413292e-17
3,1,4.86705890617087e-17
1,1,1.13680990858626e-17
2,1,6.33344028016408e-17
3,1,9.91483357089932e-17
1,1,6.22573441436415e-17
2,1,1.31989144746643e-17
3,1,1.54056692955909e-17
1,1,1.58624604686611e-17
2,1,8.87899171155087e-17
3,1,1.02904769073131e-16
1,1,6.99971230918792e-17
2,1,2.26767412155796e-17
3,1,2.29841733317907e-17
1,1,2.28746764149027e-17
2,1,2.70296470420948e-17
3,1,4.75051987115414e-17
1,1,2.53120402756273e-17
2,1,5.37541574070383e-18
3,1,6.46808138676992e-18
1,1,1.08340533947476e-16
2,1,1.79630952536128e-17
3,1,1.90976947215436e-17
1,1,9.18014798505532e-17
2,1,3.68920217845873e-17
3,1,5.39699065116497e-17
1,1,8.61057052041316e-17
2,1,5.73213859347893e-18
3,1,6.7357888528814e-18
1,1,1.06127077000545e-16
2,1,4.54648703355995e-17
3,1,4.60670864376949e-17
1,1,2.11829948905876e-17
2,1,2.29866725394143e-17
3,1,3.87684206675051e-17
1,1,4.43929765360714e-17
2,1,8.59515962850291e-18
3,1,8.87054557278111e-18
1,1,3.4983321046598e-17
2,1,1.96132142616193e-17
3,1,2.70553957233042e-17
1,1,4.5446618280495e-17
2,1,1.40437499082591e-17
3,1,2.17098060119062e-17
1,1,1.41484736998148e-17
2,1,2.86695128031837e-17
3,1,2.92666758484094e-17
1,1,2.25848747631853e-17
2,1,7.41103674363636e-17
3,1,1.24232288534489e-16
1,1,5.03580647381569e-17
2,1,2.38001795193003e-17
3,1,2.38761535837674e-17
1,1,8.60176255978129e-17
2,1,1.48206296969648e-17
3,1,1.86046669271679e-17
1,1,2.11872300181354e-17
2,1,2.48855485634289e-17
3,1,2.96858436280867e-17
1,1,1.8621404863252e-17
2,1,3.90427536440252e-17
3,1,5.63160811372044e-17
1,1,2.61093830236132e-17
2,1,8.6563335811052e-18
3,1,8.7173280787413e-18
1,1,2.36049942727615e-17
2,1,1.25617403051862e-17
3,1,1.26200070243368e-17
1,1,7.97146016054353e-18
2,1,3.09277775000771e-17
3,1,3.65552691336148e-17
1,1,2.62879804205993e-17
2,1,5.67666428151931e-17
3,1,6.55335970306008e-17
1,1,2.66008318454991e-17
2,1,2.35055669294976e-17
3,1,5.22000761336238e-17
1,1,3.82139689277674e-17
2,1,4.65391261397841e-17
3,1,5.56271817651633e-17
1,1,2.21861165440961e-17
2,1,6.05507365662013e-18
3,1,1.54438631624399e-17
1,1,7.42736226068687e-18
2,1,1.89803035208538e-17
3,1,2.70989025504877e-17
1,1,6.19468389112479e-17
2,1,2.44324947234133e-17
3,1,3.15946722078543e-17
1,1,1.96293510315602e-17
2,1,2.38671634228269e-17
3,1,5.49244398556859e-17
1,1,4.37947824511602e-17
2,1,7.01519402923715e-18
3,1,1.58731462295053e-17
1,1,2.49872981289148e-17
2,1,1.56941539757368e-17
3,1,3.25295858760488e-17
1,1,2.73703149648126e-17
2,1,1.43252531342169e-17
3,1,1.98542735219756e-17
1,1,4.35524005461847e-17
2,1,2.4342761255791e-17
3,1,2.86257736839485e-17
1,1,7.74460343240353e-17
2,1,2.0528389654598e-17
3,1,3.47964359597599e-17
1,1,5.10370754806242e-17
2,1,3.74173376689012e-17
3,1,4.12807714568375e-17
1,1,6.09682184730407e-18
2,1,7.33669157375544e-17
3,1,1.3554896698371e-16
1,1,1.4665930445787e-17
2,1,2.21412723436972e-17
3,1,4.53454854304464e-17
1,1,1.65298978297027e-17
2,1,3.93239963295667e-17
3,1,6.48302864672873e-17
1,1,9.35512101385667e-17
2,1,4.11321221060071e-17
3,1,4.85711041557565e-17
1,1,3.52092964216388e-17
2,1,4.58693946165048e-17
3,1,1.23682820300658e-16
1,1,9.56014097898301e-17
2,1,5.1370009982451e-17
3,1,5.35603356116969e-17
1,1,1.42870823569905e-17
2,1,3.87478560758275e-17
3,1,6.87709675775566e-17
1,1,3.80044325009384e-17
2,1,4.84666580217237e-17
3,1,6.61668288419071e-17
1,1,5.05926295654274e-17
2,1,1.95316404850959e-17
3,1,2.05137805558957e-17
1,1,5.31933154797245e-17
2,1,2.43906969060112e-17
3,1,2.51801314997609e-17
1,1,1.76486977188632e-17
2,1,6.61396552679878e-17
3,1,8.95820280949525e-17
1,1,1.23052493967701e-17
2,1,1.0084578481875e-17
3,1,1.7871639141606e-17
1,1,2.25307955965802e-17
2,1,5.17374829488514e-17
3,1,1.25491787194444e-16
1,1,5.82842764412239e-17
2,1,3.67476197314183e-17
3,1,4.53695187522648e-17
1,1,4.23684817264463e-18
2,1,4.6852971236365e-17
3,1,8.42670111725716e-17
1,1,2.37692598338385e-17
2,1,1.1386436589423e-16
3,1,1.15901469742815e-16
1,1,4.79405396406615e-17
2,1,5.11681492861336e-17
3,1,5.6859732047397e-17
1,1,1.72296346405619e-17
2,1,9.35487326283876e-18
3,1,3.48645747455911e-17
1,1,6.04098065840366e-17
2,1,2.5002139208465e-17
3,1,3.71860409151232e-17
1,1,5.11578181320696e-17
2,1,7.91870508709648e-17
3,1,9.41903697042947e-17
1,1,2.48888209726986e-17
2,1,2.58005622391712e-17
3,1,2.57590467337805e-17
1,1,1.43934414918884e-17
2,1,2.45271383691325e-17
3,1,2.50567392892503e-17
1,1,2.07548294437273e-17
2,1,3.276681373308e-17
3,1,3.61667720407579e-17
1,1,4.55425273466213e-18
2,1,2.23241087936802e-17
3,1,3.55423721644574e-17
1,1,1.16781610358507e-16
2,1,1.76824085122749e-17
3,1,1.75657449661787e-17
1,1,1.88408303175848e-17
2,1,2.54592711559259e-17
3,1,7.16713950485912e-17
1,1,3.17660468421379e-17
2,1,2.68157220737372e-17
3,1,4.33640284662702e-17
1,1,1.87070826474295e-17
2,1,1.79225805064115e-17
3,1,1.93180254985182e-17
1,1,1.59187483225316e-17
2,1,2.62104068446367e-17
3,1,3.71231034948205e-17
1,1,7.29818548734718e-17
2,1,2.76271931388499e-17
3,1,4.15332071479818e-17
1,1,3.41882496269966e-17
2,1,3.81578418839207e-17
3,1,7.93901478754962e-17
1,1,6.27784160541462e-18
2,1,8.21616416182027e-18
3,1,1.03021509680204e-17
1,1,9.92590574879468e-18
2,1,3.65552302249209e-17
3,1,4.68745766904225e-17
1,1,2.66134115610003e-17
2,1,5.86724579211622e-17
3,1,9.86916904201015e-17
1,1,3.05122816265055e-17
2,1,1.42233182149444e-17
3,1,1.59854595091472e-17
1,1,2.46430769829934e-17
2,1,2.98032635053207e-17
3,1,7.17430621391368e-17
1,1,8.35946673985561e-18
2,1,7.95613974223676e-17
3,1,1.95406599218419e-16
1,1,4.86350573088023e-17
2,1,5.01250211072217e-17
3,1,6.14586186162164e-17
1,1,3.06263199042706e-17
2,1,2.19726266163931e-17
